,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
2136,"5930-6030 McCarran Airport Connector, Terminal 3, Gate E2","{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'CoatCheck': 'False', 'GoodForDancing': 'False', 'HappyHour': 'False', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'WiFi': 'free'}",D38nHcnLTnw3xhhiI2apyQ,"Airport Lounges, Bars, Lounges, Nightlife",Las Vegas,"{'Monday': '5:0-0:30', 'Tuesday': '5:0-0:30', 'Wednesday': '5:0-0:30', 'Thursday': '5:0-0:30', 'Friday': '5:0-0:30', 'Saturday': '5:0-0:30', 'Sunday': '5:0-0:30'}",1,36.0858251618,-115.133812724,The Club,Southeast,89119,43,3.5,NV
2284,1775 E Tropicana Ave,"{'AgesAllowed': '21plus', 'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': True}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'CoatCheck': 'False', 'GoodForDancing': 'True', 'HappyHour': 'True', 'HasTV': 'True', 'Music': ""{'dj': True, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'very_loud', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'Smoking': 'yes', 'WheelchairAccessible': 'True'}",zzOo9n22fBbKAhbSpMzggA,"Nightlife, Bars, Dance Clubs, Gay Bars",Las Vegas,,0,36.0993277,-115.1284942,Goodtimes Bar & Nightclub,Southeast,89119,24,3.0,NV
2461,"5030 Paradise Rd, Ste B202","{'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'False'}",D9Y1JQtSbattMvqfGnneow,"Mobile Phones, Shopping, Electronics Repair, Local Services, Mobile Phone Repair, IT Services & Computer Repair",Las Vegas,"{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0', 'Sunday': '10:0-19:0'}",1,36.0985273,-115.1484459,Go Gadgets,Southeast,89119,277,4.5,NV
2464,5757 Wayne Newton Blvd,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'GoodForKids': 'False'}",XOItAxNAmhU4cwzHZH9C1A,"Active Life, Trainers, Fitness & Instruction, Gyms",Las Vegas,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-18:0'}",1,36.085922,-115.149468,Zero Level Fitness,Southeast,89119,12,4.0,NV
3293,5757 Wayne Newton Blvd,,e2QZOsOJotQO1rFA2M7OEw,"Hotels & Travel, Airlines, Transportation",Las Vegas,,1,36.0839998,-115.1537389,Air Canada Rouge,Southeast,89119,4,1.5,NV
3297,5757 Wayne Newton Blvd,,Q9rtcqUvKluQXvojMvm9rw,"Transportation, Airlines, Hotels & Travel",Las Vegas,,1,36.0839998,-115.1537389,Korean Air,Southeast,89119,4,3.0,NV
3536,"1525 E Sunset Rd, Ste 3",{'BusinessAcceptsCreditCards': 'True'},D-xo8_AJi5dQxficW15eGA,"Shopping, Professional Services, Fashion, Screen Printing/T-Shirt Printing, Local Services",Las Vegas,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '10:0-14:0'}",1,36.0716,-115.13,C&A Embroidery,Southeast,89119,7,1.5,NV
3688,115 E Tropicana Ave,{'GoodForKids': 'True'},COeoqrKejlMnwgyAzTVzKw,"Arts & Entertainment, Performing Arts, Casinos",Las Vegas,"{'Monday': '17:0-18:30', 'Tuesday': '17:0-18:30', 'Wednesday': '17:0-18:30', 'Thursday': '17:0-18:30', 'Friday': '17:0-18:30', 'Saturday': '17:0-18:30', 'Sunday': '17:0-18:30'}",1,36.0993459,-115.167874,Country Superstars,Southeast,89109,20,2.5,NV
4382,"5757 Wayne Newton Blvd, Concourse D, Terminal 3","{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': True, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': True, 'saturday': False}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'CoatCheck': 'False', 'GoodForDancing': 'False', 'HappyHour': 'False', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'Smoking': 'no', 'WiFi': 'free'}",RypJ1Rhq7Y8GFdP5UFbzUg,"Translation Services, Nightlife, Lounges, Bars, Hotels, Airports, Event Planning & Services, Airport Lounges, Travel Services, Hotels & Travel, Professional Services",Las Vegas,"{'Monday': '5:0-23:0', 'Tuesday': '5:0-23:0', 'Wednesday': '5:0-23:0', 'Thursday': '5:0-23:0', 'Friday': '5:0-23:0', 'Saturday': '5:0-23:0', 'Sunday': '5:0-23:0'}",1,36.0817806884,-115.136565693,Centurion Club By American Express,Southeast,89119,467,4.5,NV
5220,5757 Wayne Newton Blvd,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': True, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",Q6kZqLHy-ikjMW-lBCXnKA,"Ethnic Food, Specialty Food, Imported Food, Restaurants, Tex-Mex, Food",Las Vegas,,1,36.080609,-115.146624,Tequileria Grille,Southeast,89119,47,2.0,NV
5675,", 3930 Las Vegas Blvd S","{'Alcohol': 'full_bar', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True'}",McZz8few5LqWF37KZTK_QA,"Restaurants, Italian",Las Vegas,"{'Monday': '11:30-22:0', 'Tuesday': '23:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '0:0-22:0', 'Sunday': '0:0-22:0'}",0,36.089494,-115.138026,Giorgio Ristorante E Caffe,Southeast,89119,29,3.5,NV
5784,5025 S Eastern Ave,"{'Alcohol': 'beer_and_wine', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'DriveThru': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",IO3iTBH0rX-G7E7wAreRSQ,"Burgers, Restaurants, Sandwiches, Italian, Pizza",Las Vegas,"{'Monday': '10:0-3:0', 'Tuesday': '10:0-3:0', 'Wednesday': '10:0-3:0', 'Thursday': '10:0-3:0', 'Friday': '10:0-4:0', 'Saturday': '10:0-4:0', 'Sunday': '10:0-3:0'}",1,36.0976114,-115.1196648,Angelina's Pizzeria - Eastern,Southeast,89119,125,3.0,NV
6597,1788 Landing Strip Ave,{'BusinessAcceptsCreditCards': 'True'},9VIzAXz0AZ9cuD26V2HR1A,"Child Care & Day Care, Local Services, Preschools, Education",Las Vegas,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,36.0869532,-115.1282947,McCarran International Child Development Center,Southeast,89119,9,3.5,NV
6902,"Town Square Las Vegas, 6605 Las Vegas Blvd South","{'Alcohol': 'full_bar', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True'}",KPLFg6jWMXmRv5Dh1TKG6A,"Pizza, Restaurants",Las Vegas,,0,36.089494,-115.138026,Anthony's Coal Fired Pizza,Southeast,89119,25,3.0,NV
7849,,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'False', 'Caters': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'no'}",tv-WIUQifcp5J9pUKoiE3Q,"Food, Restaurants, Asian Fusion, Food Trucks",Las Vegas,"{'Monday': '11:0-14:0', 'Tuesday': '11:0-14:0', 'Wednesday': '11:0-14:0', 'Thursday': '11:0-14:0', 'Friday': '11:0-14:0', 'Saturday': '11:0-0:0', 'Sunday': '16:0-22:0'}",1,36.0765176,-115.1533426,Dragon Grille,Southeast,89119,60,4.0,NV
8003,5130 S Maryland Pkwy,{'BusinessAcceptsCreditCards': 'True'},YD_po-I4olLeteEy79AsgA,"Local Services, Self Storage",Las Vegas,"{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '8:0-16:0', 'Sunday': '10:0-16:0'}",1,36.0968384,-115.1362635,StorageOne Maryland Pkwy & Tropicana,Southeast,89119,3,5.0,NV
8004,Mccarran International Airport,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True'}",TSNvD7vyrknurZ8H05iyVQ,"Restaurants, Delis, Sandwiches",Las Vegas,,1,36.0839998,-115.1537389,Port of Subs,Southeast,89119,14,2.5,NV
8805,5757 Wayne Newton Blvd,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': True, 'trendy': False, 'upscale': False, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'True', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'Smoking': 'no', 'WiFi': 'no'}",UGiMMw54qYxac0eE_cBbaA,"Nightlife, Mexican, Restaurants, American (New), Sports Bars, Bars",Las Vegas,,1,36.0826883675,-115.148259147,Sammy's Beach Bar & Grill,Southeast,89169,195,2.5,NV
9136,5757 Wayne Newton Blvd,"{'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",YY0zHGIqBIVcIpjVmOu54A,"Food, Coffee & Tea",Las Vegas,,1,36.0838389,-115.148385,Starbucks,Southeast,89119,8,2.5,NV
10408,5757 Wayne Newton Blvd,,g03C39iu9Lu6xYvTFy5H0Q,"Airlines, Hotels & Travel, Transportation",Las Vegas,,1,36.0839998,-115.1537389,Hawaiian Airlines,Southeast,89119,43,3.0,NV
10456,"5757 Wayne Newton Blvd, Concourse D, Gate D55","{'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",5GzTTxyIJVRESNFOVPXHuw,"Coffee & Tea, Food",Las Vegas,"{'Monday': '4:0-0:30', 'Tuesday': '4:0-0:30', 'Wednesday': '4:0-0:30', 'Thursday': '4:0-0:30', 'Friday': '4:0-0:30', 'Saturday': '4:0-0:30', 'Sunday': '4:0-0:30'}",1,36.0828425071,-115.139522861,Starbucks,Southeast,89119,9,2.5,NV
11402,5757 Wayne Newton Blvd,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'False', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'loud', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'False', 'Smoking': 'no', 'WiFi': 'no'}",HpKcIWjcq3osQ13pBF0RXw,"Nightlife, Sports Bars, Bars, Sandwiches, Restaurants",Las Vegas,,1,36.0835961236,-115.151710939,Home Team Sports,Southeast,89119,36,2.0,NV
11406,"5030 Paradise Rd, Ste 110","{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",rbWL5eZCaHLqhpLd84xwUg,"Seafood, Sushi Bars, Restaurants, Mexican",Las Vegas,"{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}",0,36.0977842437,-115.148393846,El Cachi Mexican Kitchen,Southeast,89119,21,5.0,NV
11457,2385 E Tropicana Ave,,CV6SRnXZliA9C3PEoIAHSg,"Pet Services, Emergency Pet Hospital, Veterinarians, Pets",Las Vegas,"{'Monday': '6:0-20:0', 'Tuesday': '6:0-20:0', 'Wednesday': '6:0-20:0', 'Thursday': '6:0-20:0', 'Friday': '6:0-20:0', 'Saturday': '6:0-17:0', 'Sunday': '6:0-17:0'}",1,36.0996778,-115.1200354,Tropicana Animal Hospital,Southeast,89119,106,3.5,NV
11776,"5757 Wayne Newton Blvd, Concourse D, Terminal 1","{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'HappyHour': 'False', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'quiet', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'Smoking': 'no', 'WiFi': 'free'}",3OcNWCV7VrJu1qRGWEPBsg,"Airport Lounges, Lounges, Bars, Nightlife",Las Vegas,"{'Monday': '6:0-2:0', 'Tuesday': '6:0-2:0', 'Wednesday': '6:0-2:0', 'Thursday': '6:0-2:0', 'Friday': '6:0-2:0', 'Saturday': '6:0-2:0', 'Sunday': '6:0-2:0'}",1,36.082106,-115.13707,The Club At LAS Terminal 1,Southeast,89119,72,3.0,NV
12087,1769 E Russell Road,{'ByAppointmentOnly': 'False'},NTpfFzUXu4WydUiy5M6BBA,"Hospitals, Health & Medical, Urgent Care",Las Vegas,,0,36.0880328,-115.1286266,UMC Quick Care,Southeast,89119,3,1.0,NV
